year,base,optimistic,pessimistic
2024,9.45,9.45,9.45
2025,11.927326981266788,13.716426028456805,9.54186158501343
2026,15.054087716196266,17.312200873625706,12.043270172957014
2027,19.000531914893614,21.850611702127654,15.200425531914892
