year,trend_baseline,trend_lower80,trend_upper80,base_scenario,optimistic,pessimistic
2025,54.24137931034511,48.01851776501338,60.46424085567684,,,52.74137931034511
2026,56.94827586206975,49.97027028996847,63.92628143417103,,,55.44827586206975
2027,59.65517241379348,51.89664538163164,67.41369944595532,,,58.15517241379348
